Industry_code_NZSIOC,Value
CC531,48
CC531,3419
CC531,47
CC531,17
CC531,108
CC531,721
CC531,2
CC531,217
CC531,2271
CC531,38
CC531,516
CC531,532
CC531,349
CC531,3292
CC531,1476
CC531,801
CC531,133
CC531,21
CC531,1016
CC531,3292
CC531,1438
CC531,1566
CC531,288
CC531,297500
CC531,27700
CC531,94
CC531,60
CC531,45
CC531,24
CC531,11
CC531,44
CC53,3753
CC53,394
CC53,3296
CC53,16
CC53,0
CC53,48
CC53,3419
CC53,47
CC53,17
CC53,108
CC53,721
CC53,2
CC53,217
CC53,2271
CC53,38
CC53,516
CC53,532
CC53,349
CC53,3292
CC53,1476
CC53,801
CC53,133
CC53,21
CC53,1016
CC53,3292
CC53,1438
CC53,1566
CC53,288
CC53,297500
CC53,27700
CC53,94
CC53,60
CC53,45
CC53,24
CC53,11
CC53,44
CC611,3095
CC611,C
CC611,2689
CC611,36
CC611,0
CC611,C
CC611,2776
CC611,36
CC611,17
CC611,127
CC611,519
CC611,3
CC611,295
CC611,1742
CC611,41
CC611,278
CC611,287
CC611,329
CC611,2772
CC611,969
CC611,1096
CC611,149
CC611,55
CC611,706
CC611,2772
CC611,1441
CC611,840
CC611,490
CC611,331800
CC611,35200
CC611,115
CC611,81
CC611,C
CC611,23
CC611,12
CC611,52
CC61,3095
CC61,C
CC61,2689
CC61,36
CC61,0
CC61,C
CC61,2776
CC61,36
CC61,17
CC61,127
CC61,519
CC61,3
CC61,295
CC61,1742
CC61,41
CC61,278
CC61,287
CC61,329
CC61,2772
CC61,969
CC61,1096
CC61,149
CC61,55
CC61,706
CC61,2772
CC61,1441
CC61,840
CC61,490
CC61,331800
CC61,35200
CC61,115
CC61,81
CC61,C
CC61,23
CC61,12
CC61,52
CC711,3687
CC711,70
CC711,3316
CC711,C
CC711,C
CC711,C
CC711,3443
CC711,C
CC711,4
CC711,108
CC711,493
CC711,0
CC711,62
CC711,2718
CC711,C
CC711,452
CC711,439
CC711,230
CC711,2992
CC711,C
CC711,1051
CC711,116
CC711,5
CC711,C
CC711,2992
CC711,1241
CC711,1148
CC711,602
CC711,769400
CC711,48000
CC711,C
CC711,C
CC711,12
CC711,19
CC711,8
CC711,41
CC71,3687
CC71,70
CC71,3316
CC71,C
CC71,C
CC71,C
CC71,3443
CC71,C
CC71,4
CC71,108
CC71,493
CC71,0
CC71,62
CC71,2718
CC71,C
CC71,452
CC71,439
CC71,230
CC71,2992
CC71,C
CC71,1051
CC71,116
CC71,5
CC71,C
CC71,2992
CC71,1241
CC71,1148
CC71,602
CC71,769400
CC71,48000
CC71,C
CC71,C
CC71,12
CC71,19
CC71,8
CC71,41
CC721,5260
CC721,336
CC721,4882
CC721,22
CC721,1
CC721,18
